Run,StartLS,EndLS,Value,
394153,40,100,69976.02142,0.1422942633
394153,101,169,79648.34292,0.143184377
394154,1,100,155061.8733,0.1923415035
394154,101,200,149750.8229,0.1857535822
394154,201,300,143749.6459,0.1783096156
394154,301,387,121079.229,0.1726308363
394169,39,140,189795.8863,0.2308099907
394169,141,240,167681.2431,0.2079947941
394169,241,340,152796.3559,0.1895313155
394169,341,440,141209.2852,0.1751585071
394169,441,540,130401.8832,0.1617528136
394169,541,640,121579.4367,0.1508092941
394169,641,740,111608.9328,0.1384417038
394169,741,840,103758.4723,0.1287038531
394169,841,997,151778.2846,0.1199162304
394175,47,150,187305.4201,0.2234009346
394175,151,250,169002.4369,0.2096336263
394175,251,350,163748.7189,0.2031168212
394175,351,450,158590.3739,0.1967183184
394175,451,550,153819.2489,0.1908001301
394175,551,650,146992.6122,0.1823322486
394175,651,750,140697.8064,0.1745240597
394175,751,850,136808.1483,0.1696992586
394175,851,988,182240.0852,0.1638071309
394183,15,116,129966.5893,0.1580518306
394183,117,239,150546.2126,0.1518212989
394184,1,100,115862.1049,0.1437174141
394184,101,200,114227.2486,0.1416895093
394184,201,300,110238.4178,0.1367416927
394184,301,400,107054.41,0.1327921927
394184,401,500,103115.7947,0.1279066644
394184,501,600,100653.1132,0.1248519104
394184,601,667,60495.74778,0.1120000011
394189,1,72,64796.68886,0.1116318951
394204,38,140,156856.4822,0.1889005518
394204,141,240,148968.16,0.1847827532
394204,241,340,143308.0081,0.1777618002
394204,341,440,138347.0656,0.1716081589
394204,441,540,133888.4089,0.1660775619
394204,541,640,130603.7506,0.1620032134
394204,641,740,126429.047,0.1568248368
394204,741,840,122057.0879,0.1514017811
394204,841,932,110162.9883,0.1485305746
394209,23,110,151620.4024,0.2137189112
394209,111,210,166499.5852,0.2065290446
394209,211,310,161498.39,0.2003254732
394209,311,410,156083.7825,0.1936090978
394209,411,510,151876.0745,0.188389782
394209,511,610,146989.9423,0.1823289368
394209,611,710,143178.4881,0.1776011413
394209,711,810,139301.1177,0.1727915822
394209,811,910,134941.4815,0.1673838119
394209,911,1010,132018.3894,0.1637579565
394209,1011,1110,128119.0763,0.1589211793
394209,1110,1209,124898.2234,0.1549259761
394217,41,150,175841.4309,0.1982880328
394217,151,271,186331.797,0.1910159278
394217,667,750,112529.3502,0.1661707214
394217,751,838,113446.6607,0.1599105161
